INFO 2025-04-21 23:56:36,523 basehttp 7 281472864940448 "GET /admin/core/clientegrupo/ HTTP/1.1" 200 14446
INFO 2025-04-21 23:56:36,542 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:36,550 basehttp 7 281472864940448 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:56:38,315 basehttp 7 281472864940448 "GET /admin/core/produto/add/ HTTP/1.1" 200 23384
INFO 2025-04-21 23:56:38,334 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:40,613 basehttp 7 281472864940448 "GET /admin/core/plataforma/add/ HTTP/1.1" 200 15575
INFO 2025-04-21 23:56:40,628 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:57:29,578 basehttp 7 281472760082848 "POST /admin/core/plataforma/add/ HTTP/1.1" 302 0
INFO 2025-04-21 23:57:29,589 basehttp 7 281472760082848 "GET /admin/core/plataforma/ HTTP/1.1" 200 15162
INFO 2025-04-21 23:57:29,620 basehttp 7 281472739111328 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,624 basehttp 7 281472843968928 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,624 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:57:29,630 basehttp 7 281472728625568 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,627 basehttp 7 281472749597088 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,628 basehttp 7 281472739111328 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,624 basehttp 7 281472864940448 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,631 basehttp 7 281472760082848 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,632 basehttp 7 281472843968928 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,634 basehttp 7 281472728625568 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,636 basehttp 7 281472749597088 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,637 basehttp 7 281472739111328 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,638 basehttp 7 281472864940448 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,639 basehttp 7 281472760082848 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,640 basehttp 7 281472843968928 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,642 basehttp 7 281472760082848 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,643 basehttp 7 281472843968928 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:29,645 basehttp 7 281472864940448 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:35,272 basehttp 7 281472864940448 "GET /admin/core/dominio/add/ HTTP/1.1" 200 15555
INFO 2025-04-21 23:57:35,289 basehttp 7 281472728625568 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:35,289 basehttp 7 281472749597088 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2025-04-21 23:57:35,292 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:57:35,293 basehttp 7 281472749597088 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-04-21 23:57:35,294 basehttp 7 281472749597088 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-04-21 23:57:47,488 basehttp 7 281472749597088 "POST /admin/core/dominio/add/ HTTP/1.1" 302 0
INFO 2025-04-21 23:57:47,502 basehttp 7 281472749597088 "GET /admin/core/dominio/ HTTP/1.1" 200 15158
INFO 2025-04-21 23:57:47,528 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:57:47,538 basehttp 7 281472749597088 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:57:52,921 basehttp 7 281472749597088 "GET /admin/core/grupo/ HTTP/1.1" 200 15087
INFO 2025-04-21 23:57:52,937 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:57:55,230 basehttp 7 281472749597088 "GET /admin/core/historicopreco/ HTTP/1.1" 200 14043
INFO 2025-04-21 23:57:55,245 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:57:58,851 basehttp 7 281472749597088 "GET /admin/core/grupo/ HTTP/1.1" 200 15087
INFO 2025-04-21 23:57:58,868 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:58:00,503 basehttp 7 281472749597088 "GET /admin/core/clientegrupo/ HTTP/1.1" 200 14218
INFO 2025-04-21 23:58:00,517 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:58:46,539 basehttp 7 281472749597088 "GET /admin/core/historicopreco/ HTTP/1.1" 200 14043
INFO 2025-04-21 23:58:46,568 basehttp 7 281472864940448 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,571 basehttp 7 281472739111328 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,572 basehttp 7 281472728625568 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,572 basehttp 7 281472843968928 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
